"sample_id","lat","lon","genus"
"BAT0112","-4.613914376","39.35433553","Coleura"
"BAT0633","-3.351518","38.598908","Chaerephon"
"BAT0634","-3.351518","38.598908","Chaerephon"
"BAT0635","-3.351518","38.598908","Chaerephon"
"BAT0636","-3.351518","38.598908","Mops"
"BAT0637","-3.351518","38.598908","Mops"
"BAT0638","-3.351518","38.598908","Mops"
"BAT0639","-3.351518","38.598908","Mops"
"BAT0640","-3.351518","38.598908","Mops"
"BAT0641","-3.351518","38.598908","Mops"
"BAT0642","-3.351518","38.598908","Mops"
"BAT0643","-3.351518","38.598908","Mops"
"BAT0644","-3.351518","38.598908","Mops"
"BAT0645","-3.351518","38.598908","Mops"
"BAT0646","-3.351518","38.598908","Mops"
"BAT0647","-3.351518","38.598908","Mops"
"BAT0648","-3.351518","38.598908","Mops"
"BAT0649","-3.351518","38.598908","Mops"
"BAT0650","-3.351518","38.598908","Mops"
"BAT0651","-3.351518","38.598908","Mops"
"BAT0652","-3.351518","38.598908","Mops"
"BAT0734","0.482908","35.986629","Miniopterus"
"BAT0735","0.482908","35.986629","Miniopterus"
"BAT0736","0.482908","35.986629","Miniopterus"
"BAT0737","0.482908","35.986629","Miniopterus"
"BAT0738","0.482908","35.986629","Miniopterus"
"BAT0739","0.482908","35.986629","Miniopterus"
"BAT0740","0.482908","35.986629","Miniopterus"
"BAT0741","0.482908","35.986629","Miniopterus"
"BAT0742","0.482908","35.986629","Miniopterus"
"BAT0743","0.482908","35.986629","Miniopterus"
"BAT0794","-0.276536","35.272731","Otomops"
"BAT0795","-0.276536","35.272731","Otomops"
"BAT0796","-0.276536","35.272731","Otomops"
"BAT0797","-0.276536","35.272731","Otomops"
"BAT0798","-0.276536","35.272731","Otomops"
"BAT0800","-0.276536","35.272731","Otomops"
"BAT0802","-0.276536","35.272731","Otomops"
"BAT0803","-0.276536","35.272731","Otomops"
"BAT0804","-0.276536","35.272731","Otomops"
"BAT0805","-0.276536","35.272731","Otomops"
"BAT0806","-0.276536","35.272731","Otomops"
"BAT0807","-0.276536","35.272731","Otomops"
"BAT0808","-0.276536","35.272731","Otomops"
"BAT0809","-0.276536","35.272731","Otomops"
"BAT0810","-0.276536","35.272731","Otomops"
"BAT0811","-0.276536","35.272731","Otomops"
