sample_id,CleanDataSize,CleanQ30,TotalContigLength,ContigCount
BAT0112,3916815882,84.01,1128727,2749
BAT0633,672405820,85.88,3875252,6714
BAT0634,2990670835,86.3,20120479,45115
BAT0635,975262133,88.14,3910040,7728
BAT0636,7039908239,94.2,680074332,1019460
BAT0637,445138362,87.76,11928205,21024
BAT0638,18100818400,93.27,1467738466,1911761
BAT0639,14218183849,92.58,616464836,1007884
BAT0640,5123577176,93.35,151320286,300549
BAT0641,6669695189,89.25,285402377,566114
BAT0642,1943121205,94.15,20667372,34486
BAT0643,3328603837,89.07,94839169,197304
BAT0644,10092506147,93.03,664315212,992066
BAT0645,2998600263,93.93,72035464,145210
BAT0646,7681989269,92.75,586402143,969697
BAT0647,6454259864,88.73,216411001,447948
BAT0648,1110171326,89.19,14283138,19928
BAT0649,11351915603,91.53,953651483,1372726
BAT0650,1874851224,89.5,39389517,81293
BAT0651,10008296334,87.78,346518161,748941
BAT0652,6414177109,88.34,219611022,379022
BAT0734,1288179209,85.71,4472979,10577
BAT0735,3704066357,87.05,39075184,81172
BAT0736,1107145671,90.18,22213054,40700
BAT0737,4998535851,87.7,57690942,66389
BAT0738,1959892805,87.05,10743182,26210
BAT0739,3171837197,86.54,17404308,39146
BAT0740,1597052740,86.9,7592530,15596
BAT0741,1660832541,88.52,16968654,39921
BAT0742,10601594052,91.01,406790866,621476
BAT0743,2346586740,86.38,19530407,42649
BAT0794,4325213349,94.66,143878232,247914
BAT0795,2987048303,93.75,48765428,66791
BAT0796,9052670817,95.01,812472147,1098664
BAT0797,4986540077,94.33,320044234,579580
BAT0798,4503597752,93.91,421101712,724217
BAT0800,7526638950,85.95,156172855,322131
BAT0802,9569054728,93.94,863658760,1076826
BAT0803,4003541922,94.47,198191917,397669
BAT0804,4368356557,92.29,205366516,335473
BAT0805,4152008183,93.76,225599712,425697
BAT0806,4624409350,95.29,147699254,266498
BAT0807,10391178656,93.55,868390874,1055699
BAT0808,3403100710,94.8,124785725,247997
BAT0809,938023476,95.22,28551449,46354
BAT0810,10798229510,93.68,1000213243,1260265
BAT0811,8250229901,89.45,483475533,798182
BAT0812,8261012462,93.67,779898228,1027813
BAT0813,3908517641,95.26,168154224,317446
BAT1,8038602852,88.38,204488705,447872
BAT10,20774005385,86.59,361341651,590801
BAT1045,1089502923,89.53,21491478,40283
BAT1047,5418561652,87.89,77505662,178669
BAT1048,628042915,89.3,14365343,12975
BAT1049,685068443,91.37,15086440,24907
BAT1050,4532869503,89.02,179729656,351545
BAT1051,185380774,86.77,1517802,3136
BAT1052,2757695968,87.33,27801676,66466
BAT1053,3594735036,86.8,33157012,80088
BAT1054,1867305729,91.93,54858798,87724
BAT1055,1545144460,93.57,45905739,79272
BAT1056,2299159724,87.02,17428167,41532
BAT1057,1405621321,91.92,38068686,68104
BAT1058,2584180820,89.14,69964121,136551
BAT1059,6158797801,85.95,159120353,250882
BAT1060,5123065335,87.99,61364305,142962
BAT1061,3756594689,87.54,12758047,27610
BAT1062,4658738666,89.28,154377778,314182
BAT1063,4594358044,87.64,33969004,73016
BAT1064,794249855,85.47,1607893,3571
BAT11,25347071155,84.76,161791169,399507
BAT1120,885094767,82.81,141199,296
