"sample","DNA","RNA","ALL"
"BAT501",0,1,1
"BAT512",0,1,1
"BAT1048",0,1,1
"BAT1049",0,0,0
"UGR17",0,0,0
"BAT1314",0,0,0
"UGR39",0,0,0
"BAT510",0,0,0
"BFS058",0,0,0
"UGR29",0,0,0
"BAT2790",0,0,0
"BAT1064",0,0,0
"BAT1602",0,1,1
"BAT1316",0,0,0
"BAT508",0,1,1
"BAT509",0,1,1
"UR43",0,0,0
"BAT2382",0,1,1
"BAT899",0,1,1
"BAT1120",0,0,0
"BAT0809",0,0,0
"BFS050",0,0,0
"BAT2232",0,0,0
"BAT2226",0,0,0
"BAT517",0,1,1
"UGR16",0,0,0
"UR24",0,0,0
"UGR30",0,0,0
"BAT1045",0,0,0
"UGR61",0,0,0
"UGR51",0,0,0
"BAT895",0,2,2
"BAT1467",2,1,3
"BAT1326",0,0,0
"BAT0648",0,0,0
"UGR89",0,0,0
"BAT507",0,1,1
"UGR81",0,0,0
"BAT1553",3,2,5
"BAT1601",0,0,0
"BAT1993",0,0,0
"BAT854",0,1,1
"BAT2378",0,0,0
"BAT403",0,0,0
"BAT506",0,0,0
"BAT1311",0,0,0
"BAT1999",0,0,0
"BAT1328",0,0,0
"BAT1990",0,0,0
"BAT2583",0,0,0
"UGR24",0,0,0
"BAT2320",0,0,0
"BAT1997",0,0,0
"BAT1464",0,0,0
"BAT2132",0,0,0
"BAT409",0,0,0
"BAT1057",0,1,1
"BAT1312",0,0,0
"BAT2276",0,0,0
"BAT1995",0,0,0
"BAT2274",0,0,0
"BAT596",0,0,0
"BAT2380",1,0,1
"UGR15",0,0,0
"BAT2133",0,0,0
"BAT2277",0,0,0
"BAT2589",0,0,0
"BAT417",0,0,0
"BAT1055",0,1,1
"BAT2122",0,0,0
"BAT514",0,0,0
"QEPC027R",0,0,0
"BAT2272",0,0,0
"BAT2128",0,0,0
"BAT618",1,0,1
"BAT2731",0,0,0
"BAT401",0,2,2
"BAT2432",0,0,0
"BAT2134",0,0,0
"BAT905",0,2,2
"BAT2741",0,0,0
"BAT2123",0,0,0
"BAT2081",0,0,0
"BAT2591",0,0,0
"BAT2799",0,1,1
"BAT1054",1,0,1
"BAT2738",0,0,0
"BAT0650",0,0,0
"BAT2326",0,0,0
"BAT1318",1,0,1
"BAT1991",0,0,0
"BAT398",0,1,1
"BAT2131",0,0,0
"BAT2729",0,0,0
"BAT2802",1,1,2
"BAT906",0,1,1
"BAT2124",0,0,0
"BAT1468",0,0,0
"BAT0642",0,0,0
"BAT2000",0,0,0
"BAT2074",1,0,1
"BAT1329",0,1,1
"BAT2127",0,0,0
"BAT604",0,0,0
"BAT1599",0,0,0
"BAT2381",0,0,0
"BAT610",0,0,0
"BAT2479",0,1,1
"BAT511",0,0,0
"BAT2740",0,0,0
"BAT582",0,0,0
"BAT609",2,2,4
"UGR1",0,0,0
"BFS059",0,0,0
"UGR20",0,0,0
"BFS077",0,0,0
"BAT1466",0,0,0
"BAT2237",0,0,0
"BAT2385",0,0,0
"BAT2732",0,0,0
"BAT2588",1,0,1
"BAT2322",0,0,0
"BAT1600",0,1,1
"BAT1557",0,0,0
"BAT2080",0,0,0
"BAT1222",0,1,1
"BAT1056",0,0,0
