"genus","DNA","RNA","ALL","CroplandSize","PastureSize","TotalPopulationSize","Elevation","DistanceToClosestTown","MammalSympatry","AdultBodyMass_g","AdultForearmLen_mm","DietBreadth","LitterSize","LittersPerYear","PopulationGrpSize","TrophicLevel","BodyMassValue","RWL","AR","Forearm","Mass","Pulse","GroupSize","Lifespan","CleanDataSize","CleanQ30","TotalContigLength","ContigCount","neighborSampleNum","neighborBatGenus","neighborDNAvirusMean","neighborRNAvirusMean"
"Coleura",0,3,3,18.40135002,37.02971649,3291.423096,15,50742.25411,122,10.66,51.17,1,1,1.5,9.670924779,3,10.62,37.10854325,6.500000005,52.98250002,11.07,1.25,12640.99998,240,3916815882,84.01,1128727,"2749",22,1,0,0.545454545454545
"Mops",3,0,3,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,7039908239,94.2,680074332,"1019460",58,4,0,0
"Mops",0,0,0,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,18100818400,93.27,1467738466,"1911761",58,4,0,0
"Mops",1,0,1,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,14218183849,92.58,616464836,"1007884",58,4,0,0
"Mops",1,1,2,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,5123577176,93.35,151320286,"300549",58,4,0,0
"Mops",0,2,2,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,6669695189,89.25,285402377,"566114",58,4,0,0
"Mops",0,0,0,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,1943121205,94.15,20667372,"34486",58,4,0,0
"Mops",0,0,0,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,3328603837,89.07,94839169,"197304",58,4,0,0
"Mops",0,0,0,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,10092506147,93.03,664315212,"992066",58,4,0,0
"Mops",0,0,0,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,2998600263,93.93,72035464,"145210",58,4,0,0
"Mops",1,0,1,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,7681989269,92.75,586402143,"969697",58,4,0,0
"Mops",1,1,2,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,6454259864,88.73,216411001,"447948",58,4,0,0
"Mops",0,0,0,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,1110171326,89.19,14283138,"19928",58,4,0,0
"Mops",1,0,1,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,11351915603,91.53,953651483,"1372726",58,4,0,0
"Mops",0,0,0,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,1874851224,89.5,39389517,"81293",58,4,0,0
"Mops",0,0,0,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,10008296334,87.78,346518161,"748941",58,4,0,0
"Mops",0,0,0,2.875540257,17.96996498,1857.766968,544,127547.3742,132,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,6414177109,88.34,219611022,"379022",58,4,0,0
"Otomops",0,1,1,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,4325213349,94.66,143878232,"247914",19,2,0,0
"Otomops",0,2,2,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,2987048303,93.75,48765428,"66791",19,2,0,0
"Otomops",0,1,1,59.197052,21.3153801,14978.94727,1691,54290.75737,148,34.92,59.46,1.333333333,0.995,1,2.995732274,2.666666667,23.45571429,46.19788501,9.536666665,65.55833336,36.10333333,1,31.50000002,86,9052670817,95.01,812472147,"1098664",19,2,0,0
